Niveles (1),Persona
l,Real,Descubiert
o,Total,Renovaciones,Excepción
(2)
Comisión Ejecutiva,4.000,8.000,500,9.000,16.000,30.000
1. Grupo 2 Operaciones,3.000,6.000,300,7.000,12.000,-
2. Grupo 1 Operaciones/
Comisión Territorial,2.000,4.500,200,5.000,9.000,-
3. Dir. General /Directores
Inversiones,1.500,3.500,150,3.500,7.000,-
4. Directores Territoriales,1.000,2.500,100,2.500,5.000,-
5. Responsables y Apoderados
de Inversiones (3),750,2.250,85,2.250,4.500,-
6. Directores de Zona/ Oficinas
Principales (175%),56,266,17,50,322,Igual que
nueva,-
7. Directores de Oficina,,,,,,
7.1 Oficinas 150%,48,228,10,50,276,Igual que
nueva,-
