ACTIVO,31/12/2013,31/12/2014,31/12/2015
,,,
INMOVILIZADO:,,,
Inmovilizaciones inmateriales,-,-,-
Inmovilizaciones materiales,-,-,-
Total inmovilizado,-,-,-
,,,
ACTIVO FIJO:,,,
Fianzas a largo plazo,19,19,19
Total activo fijo,19,19,19
ACTIVO CIRCULANTE:,,,
Deudores,396,268,335
Préstamos a empleados,36,28,26
Otros deudores,360,240,309
Inversiones financieras temporales,-,-,-
Hacienda Pública,-,-,-
Tesorería,9.987,1 0.949,1 3.017
Ajustes por periodificación,880,888,761
Total activo circulante,1 1.263,1 2.105,1 4.113
TOTAL ACTIVO,1 1.282,1 2.124,1 4.132
,,,
,,,
PASIVO,31/12/2013,30/09/2014,31/12/2015
,,,
FONDOS PROPIOS:,,,
Capital suscrito,902,902,902
Reservas,182,182,182
Resultados del ejercicio - Beneficio,1.553,604,1.538
Total fondos propios,2.637,1.688,2.622
,,,
ACREEDORES A LARGO PLAZO:,,,
Deudas con empresas del Grupo,7.679,7.678,8.897
,7.679,7.678,8.897
,,,
ACREEDORES A CORTO PLAZO:,,,
Hacienda Pública,710,956,2.364
Otras deudas,30,23,12
Deudas con empresas del Grupo,3,3,-
Ajustes por periodificación,223,224,237
Dividendo a pagar,-,1.552,-
Total acreedores a corto plazo,966,2.758,2.613
TOTAL PASIVO,1 1.282,1 2.124,1 4.132
