Datos consolidados de IBERCAJA a 31 de diciembre de 2005 y 2004,
31/12/2005 31/12/2004 % Var,
,
BALANCE (millones de euros),
Activo Total 30.613 23.962 27,76%
Crédito a clientes 21.305 16.524 28,93%
Recursos de Clientes 33.697 26.576 26,79%
Crédito a clientes + Recursos Gestionados 55.002 43.100 27,61%
Fondos Propios 1.956 1.788 9,40%
Patrimonio Neto 2.130 1.900 12,11%,
CUENTA DE RESULTADOS (millones de euros),
Márgen de Intermediación 467 425 9,88%
Márgen Básico 653 586 11,43%
Márgen Ordinario 733 592 23,82%
Márgen de Explotación 349 237 47,26%
Beneficio antes de Impuestos 276 219 26,03%
Beneficio después de Impuestos 200 158 26,58%
Beneficio neto atribuido al Grupo 200 157 27,39%,
RATIOS,
Indice de Morosidad 0,54 0,74 -27,03%
Indice de Cobertura de Morosidad 317,41 247,88 28,05%
Ratio de Eficiencia 56,01 63,91 -12,36%
Coeficiente de Solvencia 12,96 13,16 -1,52%,
OFICINAS Y EMPLEADOS,
Oficinas 1.008 965 4,46%
Empleados 4.279 4.141 3,33%,
