Fondo,Fecha
Constitución,Importe Inicial,Importe gestionado
a 31/12/2006
HIPOCAT 1, FONDO DE TITULIZACIÓN HIPOTECARIA,17-jun-98,144.242.909,05 €,16.351.469,11 €
HIPOCAT 2, FONDO DE TITULIZACIÓN HIPOTECARIA,28-oct-98,285.480.749,58 €,38.719.307,43 €
HIPOCAT 3, FONDO DE TITULIZACIÓN HIPOTECARIA,16-jul-99,442.000.000 €,87.835.048,93€
PYMECAT 1 FTPYME, FONDO DE TITULIZACIÓN DE ACTIVOS,17-ene-01,150.000.000 €,0 €
HIPOCAT 4, FONDO DE TITULIZACIÓN DE ACTIVOS,18-jul-01,300.000.000 €,111.413.455,23 €
HIPOCAT 5, FONDO DE TITULIZACIÓN DE ACTIVOS,30-oct-02,696.000.000 €,268.441.473,06 €
HIPOCAT 6, FONDO DE TITULIZACIÓN DE ACTIVOS,17-sep-03,850.000.000 €,394.631.074,27 €
HIPOCAT 7, FONDO DE TITULIZACIÓN DE ACTIVOS,8-jun-04,1.400.000.000 €,812.220.335,32 €
HIPOCAT 8, FONDO DE TITULIZACIÓN DE ACTIVOS,6-may-05,1.500.000.000 €,1.094.195.431,69 €
HIPOCAT 9, FONDO DE TITULIZACIÓN DE ACTIVOS,25-nov-2005,1.016.000.000 €,847.361.614,76€
GAT FTGENCAT 2005, FONDO DE TITULIZACIÓN DE ACTIVOS,12-dic-2005,700.000.000 €,508.457.439,72€
HIPOCAT 10, FONDO DE TITULIZACIÓN DE ACTIVOS,5-jul-2006,1.525.000.000 €,1.412.200.106,83 €
GAT FTGENCAT 2006, FONDO DE TITULIZACIÓN DE ACTIVOS,28-sep-2006,449.500.000 €,415.435.111,44 €
