FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA UCI 11 Serie A 555.339.735,93 € Euribor 3M + 0.14% S&P España 17/11/2004 850.000.000,00 €
Serie B 6.000.000,00 € Euribor 3M + 0.33%
Serie C 22.900.000,00 € Euribor 3M + 0.75%
Total 584.239.735,93 €
FTA SANTANDER PUBLICO 1 Serie A 1.441.652.456,30 € Euribor 3M+ 0.039% Fitch / Moody´s España 17/12/2004 1.850.000.000,00 €
Serie B 37.000.000,00 € Euribor 3M+ 0.30%
Total 1.478.652.456,30 €
FTA SANTANDER AUTO 1 Serie Unica 1.184.664.356,20 € Euribor 3M + 0.059% S&P España 07/04/2005 1.598.000.000,00 €
Total 1.184.664.356,20 €
FTH UCI 12 Serie A 699.811.321,60 € Euribor 3M + 0.15% S&P España 30/05/2005 900.000.000,00 €
Serie B 9.000.000,00 € Euribor 3M + 0.27%
Class C 23.800.000,00 € Euribor 3M + 0.60%
Total 732.611.321,60 €
FTA SANTANDER EMPRESAS 1 Serie A1 1.240.962.698,80 € Euribor 3M + 0.02% S&P España / Fitch España 27/10/2005 3.100.000.000,00 €
Serie A2 1.240.000.000,00 € Euribor 3M + 0.12%
Serie B 80.600.000,00 € Euribor 3M + 0.21%
Serie C 96.100.000,00 € Euribor 3M + 0.29%
Serie D 170.500.000,00 € Euribor 3M + 0.59%
Total 2.828.162.698,80 €
FTA UCI 14 Serie A 1.263.418.205,00 € Euribor 3M + 0.15% S&P España / Fitch España 30/11/2005 1.350.000.000,00 €
Serie B 34.100.000,00 € Euribor 3M + 0.29%
Serie C 38.400.000,00 € Euribor 3M + 0.58%
Total 1.335.918.205,00 €
TOTAL FTA 18.789.326.854,04 €
