FONDOS DE TITULIZACION HIPOTECARIA
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTH HIPOTEBANSA VI Serie A 39.787.592,43 € Libor 3M + 0.12% S&P España / Moody´s España 27/10/1997 262.942.795,67 €
Serie B 3.978.759,04 € Libor 3M + 0.50%
Total 43.766.351,47 €
FTH HIPOTEBANSA VII Serie A 69.934.773,60 € Libor 3M + 0.15% S&P España / Moody´s España 05/05/1998 317.334.391,12 €
Serie B 6.993.478,20 € Libor 3M + 0.525%
Total 76.928.251,80 €
FTH UCI 4 Serie A 31.218.409,26 € Libor 3M + 0.16% S&P España 25/06/1998 180.303.631,32 €
Serie B 3.121.840,44 € Libor 3M + 0.575%
Total 34.340.249,70 €
FTH HIPOTEBANSA VIII Serie A 81.189.388,80 € Libor 3M + 0.27% Fitch IBCA / Moody´s España 17/12/1998 328.302.862,02 €
Serie B 8.118.939,85 € Libor 3M + 0.800%
Total 89.308.328,65 €
FTH UCI 5 Serie A 61.524.109,90 € Euribor 3M + 0.23% Moody´s España 03/06/1999 265.000.000,00 €
Serie B 4.921.928,40 € Euribor 3M + 0.625%
Total 66.446.038,30 €
FTH BANESTO 1 Serie A 172.163.290,52 € Euribor 3M + 0.23% Moody´s España 29/07/1999 759.000.000,00 €
Serie B 13.773.065,04 € Euribor 3M + 0.625%
Total 185.936.355,56 €
FTH HIPOTEBANSA IX Serie A 159.903.681,12 € Euribor 3M + 0.27% Fitch IBCA / Moody´s España 10/11/1999 519.200.000,00 €
Serie B 14.000.000,00 € Euribor 3M + 0.75%
Total 173.903.681,12 €
FTH BANESTO 2 Serie A 233.524.083,00 € Euribor 3M + 0.27% Moody´s España 08/05/2000 715.000.000,00 €
Serie B 16.346.685,00 € Euribor 3M + 0.625%
Total 249.870.768,00 €
FTH BANESTO 3 Serie A 215.569.520,48 € Euribor 3M + 0.23% Moody´s España 16/07/2001 545.000.000,00 €
Serie B 17.700.000,00 € Euribor 3M + 0.60%
Total 233.269.520,48 €
FTH BANESTO 4 Serie A 933.998.692,50 € Euribor 3M + 0.20% S&P España 15/11/2003 190.500.000,00 €
Serie B 45.000.000,00 € Euribor 3M + 0.65%
Total 978.998.692,50 €
FTH UCI 10 Serie A 394.055.613,00 € Euribor 3M + 0.16% S&P España 14/05/2004 700.000.000,00 €
Serie B 21.000.000,00 € Euribor 3M + 0.50%
415.055.613,00 €
TOTAL FTH 2.547.823.850,58 €
