Flujos de caja por Bono con TACP del 14%
Constitución 25-may-06 Bonos 750.000.000 Bonos 1er periodo Resto periodos
Desembolso 31-may-06 Tramo A 700.100.000 Tramo A 3,021% 2,929%
1ª Fecha Pago 23-oct-06 Tramo B 28.900.000 Tramo B 3,171% 3,079%
Tramo C 21.000.000 Tramo C 3,471% 3,379%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses
23-oct-06 93.574,57 6.425,43 1.216,95 100.000,00 0,00 1.277,37 100.000,00 0,00 1.398,20
22-ene-07 89.210,28 4.364,29 692,81 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-abr-07 85.026,09 4.184,19 653,24 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-07 81.014,80 4.011,29 629,52 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-07 77.169,48 3.845,32 606,41 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-08 73.483,48 3.686,00 577,63 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-08 69.950,41 3.533,07 544,06 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-jul-08 66.564,16 3.386,25 517,90 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-08 63.318,91 3.245,24 498,25 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-09 60.209,16 3.109,76 473,96 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-09 57.229,40 2.979,75 440,88 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-09 54.374,35 2.855,05 423,72 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-09 51.638,93 2.735,42 407,00 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-10 49.018,34 2.620,59 386,53 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-10 46.508,11 2.510,23 358,94 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-10 44.414,34 2.093,77 344,34 95.645,89 4.354,11 778,30 95.645,89 4.354,11 854,14
22-oct-10 42.418,49 1.995,85 332,45 91.347,84 4.298,05 752,60 91.347,84 4.298,05 825,92
22-ene-11 40.506,87 1.911,62 317,51 87.231,18 4.116,66 718,78 87.231,18 4.116,66 788,81
22-abr-11 38.676,42 1.830,45 296,61 83.289,33 3.941,85 671,46 83.289,33 3.941,85 736,89
22-jul-11 36.924,01 1.752,41 286,35 79.515,53 3.773,81 648,24 79.515,53 3.773,81 711,40
22-oct-11 35.246,35 1.677,66 276,38 75.902,71 3.612,82 625,67 75.902,71 3.612,82 686,63
22-ene-12 33.640,26 1.606,09 263,83 72.444,01 3.458,69 597,24 72.444,01 3.458,69 655,44
22-abr-12 32.102,67 1.537,60 249,07 69.132,81 3.311,20 563,83 69.132,81 3.311,20 618,77
22-jul-12 30.630,68 1.471,99 237,68 65.962,90 3.169,91 538,06 65.962,90 3.169,91 590,49
22-oct-12 29.221,87 1.408,81 229,28 62.929,03 3.033,86 519,03 62.929,03 3.033,86 569,60
22-ene-13 27.873,45 1.348,42 218,73 60.025,23 2.903,80 495,16 60.025,23 2.903,80 543,41
22-abr-13 26.583,01 1.290,44 204,10 57.246,28 2.778,96 462,04 57.246,28 2.778,96 507,06
22-jul-13 25.348,26 1.234,75 196,82 54.587,26 2.659,02 445,55 54.587,26 2.659,02 488,96
22-oct-13 24.166,87 1.181,39 189,74 52.043,14 2.544,12 429,52 52.043,14 2.544,12 471,37
22-ene-14 23.036,92 1.129,95 180,89 49.609,80 2.433,34 409,50 49.609,80 2.433,34 449,40
22-abr-14 21.956,53 1.080,38 168,69 47.283,20 2.326,59 381,87 47.283,20 2.326,59 419,08
22-jul-14 20.923,41 1.033,12 162,56 45.058,39 2.224,82 368,01 45.058,39 2.224,82 403,86
22-oct-14 19.935,63 987,78 156,62 42.931,21 2.127,18 354,54 42.931,21 2.127,18 389,09
22-ene-15 18.991,15 944,48 149,22 40.897,28 2.033,94 337,81 40.897,28 2.033,94 370,72
22-abr-15 18.088,04 903,11 139,06 38.952,45 1.944,83 314,81 38.952,45 1.944,83 345,48
22-jul-15 17.224,60 863,44 133,92 37.093,03 1.859,41 303,17 37.093,03 1.859,41 332,71
22-oct-15 16.399,18 825,42 128,93 35.315,49 1.777,54 291,87 35.315,49 1.777,54 320,31
22-ene-16 15.609,97 789,21 122,75 33.615,93 1.699,56 277,88 33.615,93 1.699,56 304,96
22-abr-16 14.855,65 754,32 115,57 31.991,50 1.624,43 261,63 31.991,50 1.624,43 287,13
22-jul-16 14.134,87 720,77 109,99 30.439,32 1.552,18 248,99 30.439,32 1.552,18 273,25
22-oct-16 13.446,31 688,56 105,80 28.956,51 1.482,81 239,51 28.956,51 1.482,81 262,85
22-ene-17 12.788,57 657,74 100,65 27.540,07 1.416,44 227,85 27.540,07 1.416,44 250,05
22-abr-17 12.160,53 628,04 93,64 26.187,59 1.352,49 211,99 26.187,59 1.352,49 232,64
22-jul-17 11.560,74 599,79 90,03 24.895,95 1.291,63 203,82 24.895,95 1.291,63 223,68
22-oct-17 10.987,89 572,85 86,53 23.662,33 1.233,62 195,90 23.662,33 1.233,62 214,98
22-ene-18 10.440,72 547,17 82,25 22.484,00 1.178,33 186,19 22.484,00 1.178,33 204,33
22-abr-18 9.918,22 522,50 76,45 21.358,80 1.125,20 173,07 21.358,80 1.125,20 189,93
22-jul-18 9.419,45 498,77 73,43 20.284,70 1.074,10 166,24 20.284,70 1.074,10 182,43
22-oct-18 8.943,33 476,12 70,51 19.259,39 1.025,32 159,61 19.259,39 1.025,32 175,16
22-ene-19 0,00 8.943,33 66,94 0,00 19.259,39 151,54 0,00 19.259,39 166,31
Totales 100.000,00 14.485,17 100.000,00 25.910,56 100.000,00 28.431,51,93.574,57 6.425,43 1.216,95
89.210,28 4.364,29 692,81
85.026,09 4.184,19 653,24
81.014,80 4.011,29 629,52
77.169,48 3.845,32 606,41
73.483,48 3.686,00 577,63
69.950,41 3.533,07 544,06
66.564,16 3.386,25 517,90
63.318,91 3.245,24 498,25
60.209,16 3.109,76 473,96
57.229,40 2.979,75 440,88
54.374,35 2.855,05 423,72
51.638,93 2.735,42 407,00
49.018,34 2.620,59 386,53
46.508,11 2.510,23 358,94
44.414,34 2.093,77 344,34
42.418,49 1.995,85 332,45
40.506,87 1.911,62 317,51
38.676,42 1.830,45 296,61
36.924,01 1.752,41 286,35
35.246,35 1.677,66 276,38
33.640,26 1.606,09 263,83
32.102,67 1.537,60 249,07
30.630,68 1.471,99 237,68
29.221,87 1.408,81 229,28
27.873,45 1.348,42 218,73
26.583,01 1.290,44 204,10
25.348,26 1.234,75 196,82
24.166,87 1.181,39 189,74
23.036,92 1.129,95 180,89
21.956,53 1.080,38 168,69
20.923,41 1.033,12 162,56
19.935,63 987,78 156,62
18.991,15 944,48 149,22
18.088,04 903,11 139,06
17.224,60 863,44 133,92
16.399,18 825,42 128,93
15.609,97 789,21 122,75
14.855,65 754,32 115,57
14.134,87 720,77 109,99
13.446,31 688,56 105,80
12.788,57 657,74 100,65
12.160,53 628,04 93,64
11.560,74 599,79 90,03
10.987,89 572,85 86,53
10.440,72 547,17 82,25
9.918,22 522,50 76,45
9.419,45 498,77 73,43
8.943,33 476,12 70,51
0,00 8.943,33 66,94,,100.000,00 0,00 1.277,37
100.000,00 0,00 778,30
100.000,00 0,00 769,75
100.000,00 0,00 778,30
100.000,00 0,00 786,86
100.000,00 0,00 786,86
100.000,00 0,00 778,30
100.000,00 0,00 778,30
100.000,00 0,00 786,86
100.000,00 0,00 786,86
100.000,00 0,00 769,75
100.000,00 0,00 778,30
100.000,00 0,00 786,86
100.000,00 0,00 786,86
100.000,00 0,00 769,75
95.645,89 4.354,11 778,30
91.347,84 4.298,05 752,60
87.231,18 4.116,66 718,78
83.289,33 3.941,85 671,46
79.515,53 3.773,81 648,24
75.902,71 3.612,82 625,67
72.444,01 3.458,69 597,24
69.132,81 3.311,20 563,83
65.962,90 3.169,91 538,06
62.929,03 3.033,86 519,03
60.025,23 2.903,80 495,16
57.246,28 2.778,96 462,04
54.587,26 2.659,02 445,55
52.043,14 2.544,12 429,52
49.609,80 2.433,34 409,50
47.283,20 2.326,59 381,87
45.058,39 2.224,82 368,01
42.931,21 2.127,18 354,54
40.897,28 2.033,94 337,81
38.952,45 1.944,83 314,81
37.093,03 1.859,41 303,17
35.315,49 1.777,54 291,87
33.615,93 1.699,56 277,88
31.991,50 1.624,43 261,63
30.439,32 1.552,18 248,99
28.956,51 1.482,81 239,51
27.540,07 1.416,44 227,85
26.187,59 1.352,49 211,99
24.895,95 1.291,63 203,82
23.662,33 1.233,62 195,90
22.484,00 1.178,33 186,19
21.358,80 1.125,20 173,07
20.284,70 1.074,10 166,24
19.259,39 1.025,32 159,61
0,00 19.259,39 151,54,,100.000,00 0,00 1.398,20
100.000,00 0,00 854,14
100.000,00 0,00 844,75
100.000,00 0,00 854,14
100.000,00 0,00 863,52
100.000,00 0,00 863,52
100.000,00 0,00 854,14
100.000,00 0,00 854,14
100.000,00 0,00 863,52
100.000,00 0,00 863,52
100.000,00 0,00 844,75
100.000,00 0,00 854,14
100.000,00 0,00 863,52
100.000,00 0,00 863,52
100.000,00 0,00 844,75
95.645,89 4.354,11 854,14
91.347,84 4.298,05 825,92
87.231,18 4.116,66 788,81
83.289,33 3.941,85 736,89
79.515,53 3.773,81 711,40
75.902,71 3.612,82 686,63
72.444,01 3.458,69 655,44
69.132,81 3.311,20 618,77
65.962,90 3.169,91 590,49
62.929,03 3.033,86 569,60
60.025,23 2.903,80 543,41
57.246,28 2.778,96 507,06
54.587,26 2.659,02 488,96
52.043,14 2.544,12 471,37
49.609,80 2.433,34 449,40
47.283,20 2.326,59 419,08
45.058,39 2.224,82 403,86
42.931,21 2.127,18 389,09
40.897,28 2.033,94 370,72
38.952,45 1.944,83 345,48
37.093,03 1.859,41 332,71
35.315,49 1.777,54 320,31
33.615,93 1.699,56 304,96
31.991,50 1.624,43 287,13
30.439,32 1.552,18 273,25
28.956,51 1.482,81 262,85
27.540,07 1.416,44 250,05
26.187,59 1.352,49 232,64
24.895,95 1.291,63 223,68
23.662,33 1.233,62 214,98
22.484,00 1.178,33 204,33
21.358,80 1.125,20 189,93
20.284,70 1.074,10 182,43
19.259,39 1.025,32 175,16
0,00 19.259,39 166,31
