FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA UCI 9 Serie A 399.939.797,07 Euribor 3M + 0.265% S&P España / Moody´s España 16/06/2003 1.250.000.000,00 €
Serie B 29.657.477,50 Euribor 3M + 0.65 %
Serie C 6.542.090,74 Euribor 3M + 1.20 %
Total 436.139.365,31 €
FTA FTPYME SANTANDER 1 Serie A 443.099.287,89 Euribor 3M + 0.25% Fitch / Moody´s España 24/09/2003 1.800.000.000,00 €
Serie B1(G) 537.100.000,00 Euribor 3M + 0.00%
Serie B2 134.300.000,00 Euribor 3M + 0.40%
Serie C 27.000.000,00 Euribor 3M + 0.90%
Serie D 87.300.000,00 Euribor 3M + 1.80%
Total 1.228.799.287,89 €
FTA SANTANDER Serie A 1.036.136.774,40 Euribor 3M + 0.18% S&P España / Moody´s España 11/06/2004 1.875.000.000,00 €
HIPOTECARIO 1 Serie B 53.400.000,00 Euribor 3M + 0.30%
Serie C 46.900.000,00 Euribor 3M + 0.50%
Serie D 56.300.000,00 Euribor 3M + 0.95%
Total 1.192.736.774,40 €
FTA FTPYME SANTANDER 2 Serie A 650.133.502,20 Euribor 3M + 0.20% S&P España 21/10/2004 1.850.000.000,00 €
Serie B 197.659.636,20 Euribor 3M + 0.00%
Serie C 81.000.000,00 Euribor 3M + 0.30%
Serie D 58.500.000,00 Euribor 3M + 0.70%
Serie E 58.500.000,00 Euribor 3M + 1.50%
Total 1.045.793.138,40 €
FTA UCI 11 Serie A 412.007.124,06 Euribor 3M + 0.14% S&P España 17/11/2004 850.000.000,00 €
Serie B 6.000.000,00 Euribor 3M + 0.33%
Serie C 22.900.000,00 Euribor 3M + 0.75%
Total 440.907.124,06 €
FTA SANTANDER PUBLICO 1 Serie A 1.204.220.344,60 Euribor 3M+ 0.039% Fitch / Moody´s España 17/12/2004 1.850.000.000,00 €
Serie B 37.000.000,00 Euribor 3M+ 0.30%
Total 1.241.220.344,60 €
FTA SANTANDER AUTO 1 Serie Unica 913.907.226,20 Euribor 3M + 0.059% S&P España 07/04/2005 1.598.000.000,00 €
Total 913.907.226,20 €
