,Cartera de Préstamos a 23 de octubre de 2006,,,,,,,,,
,Clasificados por Intervalos de Principal Pendiente,,,,,,,,,
Intervalo de Principal,,,Préstamos,,,,,Principal Pendiente,,
,Intervalo de Principal,,,,,,,,,
,,,Número,,,%,,Euros,,%
1.650.000,00 1.699.999,99
1.700.000,00 1.749.999,99
1.750.000,00 1.799.999,99
1.800.000,00 1.849.999,99
1.900.000,00 1.949.999,99
2.000.000,00 2.049.999,99
2.050.000,00 2.099.999,99
2.150.000,00 2.199.999,99
2.250.000,00 2.299.999,99
2.300.000,00 2.349.999,99
2.400.000,00 2.449.999,99
2.450.000,00 2.499.999,99
2.500.000,00 2.549.999,99
2.550.000,00 2.599.999,99
2.750.000,00 2.799.999,99
2.800.000,00 2.849.999,99
2.850.000,00 2.899.999,99
3.000.000,00 3.049.999,99
3.100.000,00 3.149.999,99
3.300.000,00 3.349.999,99
3.350.000,00 3.399.999,99
3.750.000,00 3.799.999,99
3.850.000,00 3.899.999,99
3.900.000,00 3.949.999,99
4.000.000,00 4.049.999,99
4.500.000,00 4.549.999,99
5.700.000,00 5.749.999,99,,3 0,05%
1 0,02%
2 0,03%
4 0,07%
2 0,03%
5 0,08%
1 0,02%
2 0,03%
2 0,03%
1 0,02%
1 0,02%
1 0,02%
2 0,03%
1 0,02%
2 0,03%
1 0,02%
2 0,03%
3 0,05%
1 0,02%
1 0,02%
1 0,02%
2 0,03%
1 0,02%
1 0,02%
1 0,02%
1 0,02%
1 0,02%,,,,,5.021.750,63 0,76%
1.700.000,00 0,26%
3.555.887,71 0,54%
7.214.000,00 1,10%
3.805.649,13 0,58%
10.019.120,72 1,52%
2.070.000,00 0,31%
4.341.558,00 0,66%
4.569.466,05 0,70%
2.300.000,00 0,35%
2.400.000,00 0,37%
2.471.045,31 0,38%
5.030.683,18 0,77%
2.556.580,67 0,39%
5.502.339,45 0,84%
2.825.000,00 0,43%
5.709.537,03 0,87%
9.059.844,48 1,38%
3.130.000,00 0,48%
3.324.597,20 0,51%
3.398.817,00 0,52%
7.552.000,00 1,15%
3.895.000,00 0,59%
3.900.000,00 0,59%
4.000.000,00 0,61%
4.500.000,00 0,68%
5.722.063,31 0,87%,,,
Total Cartera,,6.136,,,100,00%,,657.351.163,79,,100,00%,
,Total Cartera,,,,,100,00%,,657.351.163,79,,100,00%
Principal mínimo 50,00
Principal máximo 5.722.063,31
Principal medio 107.130,24,,,,,,,,,,
