,Cartera de Préstamos a 23 de octubre de 2006,,,,,,,,,
,Clasificados por Intervalos de Principal Pendiente,,,,,,,,,
Intervalo de Principal,,,Préstamos,,,,,Principal Pendiente,,
,Intervalo de Principal,,,,,,,,,
,,,Número,,,%,,Euros,,%
0,00 49.999,99
50.000,00 99.999,99
100.000,00 149.999,99
150.000,00 199.999,99
200.000,00 249.999,99
250.000,00 299.999,99
300.000,00 349.999,99
350.000,00 399.999,99
400.000,00 449.999,99
450.000,00 499.999,99
500.000,00 549.999,99
550.000,00 599.999,99
600.000,00 649.999,99
650.000,00 699.999,99
700.000,00 749.999,99
750.000,00 799.999,99
800.000,00 849.999,99
850.000,00 899.999,99
900.000,00 949.999,99
950.000,00 999.999,99
1.000.000,00 1.049.999,99
1.050.000,00 1.099.999,99
1.100.000,00 1.149.999,99
1.150.000,00 1.199.999,99
1.200.000,00 1.249.999,99
1.250.000,00 1.299.999,99
1.300.000,00 1.349.999,99
1.350.000,00 1.399.999,99
1.400.000,00 1.449.999,99
1.450.000,00 1.499.999,99
1.500.000,00 1.549.999,99,,3.756 61,21%
987 16,09%
444 7,24%
266 4,34%
168 2,74%
88 1,43%
80 1,30%
53 0,86%
37 0,60%
39 0,64%
25 0,41%
19 0,31%
15 0,24%
11 0,18%
8 0,13%
8 0,13%
9 0,15%
10 0,16%
9 0,15%
6 0,10%
10 0,16%
2 0,03%
2 0,03%
5 0,08%
6 0,10%
7 0,11%
2 0,03%
3 0,05%
2 0,03%
4 0,07%
9 0,15%,,,,,79.370.099,92 12,07%
69.685.056,97 10,60%
53.824.113,01 8,19%
45.880.959,97 6,98%
37.294.943,04 5,67%
23.985.164,81 3,65%
25.887.289,28 3,94%
19.803.914,32 3,01%
15.637.360,14 2,38%
18.437.349,84 2,80%
13.027.271,89 1,98%
10.833.513,17 1,65%
9.249.906,64 1,41%
7.418.972,88 1,13%
5.753.198,55 0,88%
6.118.189,62 0,93%
7.337.262,97 1,12%
8.733.660,19 1,33%
8.289.233,72 1,26%
5.826.124,98 0,89%
10.090.376,35 1,54%
2.120.963,04 0,32%
2.241.832,26 0,34%
5.880.170,78 0,89%
7.220.407,77 1,10%
8.852.162,91 1,35%
2.648.598,10 0,40%
4.128.730,04 0,63%
2.833.467,26 0,43%
5.821.059,95 0,89%
13.544.869,55 2,06%,,,
