,Cartera de Préstamos a 23 de octubre de 2006,,,,,,,,,
,Clasificación por relación Principal Pendiente/Valor de Tasación,,,,,,,,,
Intervalo,,,Préstamos,,,,,Principal Pendiente,,
,Intervalo,,,,,,,,,
,,,Número,,%,,,Euros,,%
0,00% 9,99%
10,00% 19,99%
20,00% 29,99%
30,00% 39,99%
40,00% 49,99%
50,00% 59,99%
60,00% 69,99%
70,00% 79,99%
80,00% 89,99%
90,00% 99,99%
>100%,,38 2,24%
124 7,30%
152 8,95%
177 10,42%
245 14,42%
339 19,95%
397 23,37%
182 10,71%
24 1,41%
13 0,77%
8 0,47%,,,,,,4.229.384,01,,
,,,,,,,,6.775.067,25,,
,Total Cartera,,1.699,,100,00%,,,368.032.165,94,,100,00%
Media Ponderada 60,15%
Mínimo 0,04%
Máximo 520,38%,,,,,,,,,,
