,,,,,Cargo o funciones
que se ostentan o
realizan en Banco
Santander,,Cargo o,
,,Tipo de,,,,,,
,,,,,,,funciones,
,,Régimen,,Cargo o funciones,,,,
,,,Compañía a través de,,,,que se,
,Actividad,de,,que se ostentan o,,,,
Nombre,,,la cual se prestan las,,,,ostentan o,
,Realizada,Prestación,,realizan en la,,,,
,,,funciones,,,,realizan,
,,de,,Sociedad Indicada,,,,
,,,,,,,Santander,
,,Actividad,,,,,,
,,,,,,,Consumer,
,,,,,,,,
,,,,,Director General,,,
,,,Santander Investment,,,,,,
,Bancario,,,Presidente,,,,
,,,SA,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Bank Zachodni WBK,,Miembro del,,,,
José García Cantera,Bancario,Empleado,,,,,,
,,,SA,Consejo Supervisor,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Operador del Mercado,,,,,
,Energía,,Ibérico de Energía,Miembro,,,,
,,,Polo Español, SA,,,,,
,,,Santander Consumer,,,Director,,
,,,,Miembro,,,,
,,,Bank, S.p.A,,,,,
,,,,,,,,
,,,Santander Consumer,,,,,
,,,,Miembro,,,,
,,,Bank AS,,,,,
Javier Antón San,,,,,,,,
,Bancario,Empleado,Santander Benelux,,,,,,
Pablo,,,,Presidente,,,,
,,,S.A./N.V.,,,,,
,,,,,,,,
,,,Santander Consumer,,,,,
,,,(UK) plc.,Director,,,,
,,,,,,,,
,,,,,Director General
Adjunto,,,
,,,Sistema 4B,Miembro,,,,
,,,,,,,,
,,,Aegon Santander Vida,,,,,
Adolfo Ramirez,,,Seguros y Reaseguros,,Miembro,,,,
,Bancario,Empleado,,,,,,
Morales,,,S.A.,,,,,
,,,,,,,,
,,,Aegon Santander,,,,,
,,,Generales Seguros y,Miembro,,,,
,,,Reaseguros, S.A.,,,,,
,,,,,,,,
,,,Fondo Advance,Presidente,,,,
,,,,,,,,
