CARTERA OPERACIONES DE DIA 26 DE ENERO DE 2016
CLASIFICACIÓN POR SALDO
Intervalos Operaciones %Operaciones Importe %Importe
0-100.000 83.297 55,56% 3.487.358.825,06 24,19%
100.000-200.000 53.612 35,76% 7.502.792.767,98 52,05%
200.000-300.000 10.742 7,16% 2.521.757.675,08 17,49%
300.000-400.000 1.663 1,11% 557.268.519,56 3,87%
400.000-500.000 333 0,22% 148.012.367,53 1,03%
500.000-600.000 137 0,09% 74.129.022,64 0,51%
600.000-700.000 54 0,04% 34.611.735,09 0,24%
700.000-800.000 30 0,02% 22.087.928,47 0,15%
800.000-900.000 26 0,02% 22.367.747,29 0,16%
900.000-1.000.000 14 0,01% 12.909.154,46 0,09%
1.000.000-1.100.000 6 0,00% 6.177.704,96 0,04%
1.100.000-1.200.000 8 0,01% 9.145.130,25 0,06%
1.200.000-1.300.000 2 0,00% 2.426.686,08 0,02%
1.300.000-1.400.000 2 0,00% 2.701.477,21 0,02%
1.400.000-1.500.000 1 0,00% 1.466.452,99 0,01%
1.500.000-1.600.000 3 0,00% 4.645.588,05 0,03%
2.000.000-2.100.000 1 0,00% 2.081.634,32 0,01%
2.600.000-2.700.000 1 0,00% 2.681.544,85 0,02%
Total general 149.932 100,00% 14.414.621.961,87 100,00%
